Picture_ID,Gender,Race,Ground_Truth_Emotion,qwen_original_predicted,phi_original_predicted,idefics_original_predicted,Qwen_Context_Dependent,Phi_Context_Dependent,Idefics_Context_Dependent,qwen_original_joy,qwen_original_sadness,qwen_original_anger,qwen_original_fear,qwen_original_disgust,qwen_original_surprise,qwen_black_joy,qwen_black_sadness,qwen_black_anger,qwen_black_fear,qwen_black_disgust,qwen_black_surprise,phi_original_joy,phi_original_sadness,phi_original_anger,phi_original_fear,phi_original_disgust,phi_original_surprise,phi_black_joy,phi_black_sadness,phi_black_anger,phi_black_fear,phi_black_disgust,phi_black_surprise,idefics_original_joy,idefics_original_sadness,idefics_original_anger,idefics_original_fear,idefics_original_disgust,idefics_original_surprise,idefics_black_joy,idefics_black_sadness,idefics_black_anger,idefics_black_fear,idefics_black_disgust,idefics_black_surprise,qwen_original_confidence,qwen_black_confidence,phi_original_confidence,phi_black_confidence,idefics_original_confidence,idefics_black_confidence,Qwen_Context_Shift,Phi_Context_Shift,Idefics_Context_Shift,Qwen_Accuracy,Phi_Accuracy,Idefics_Accuracy,MME_Score,qwen_black_predicted,phi_black_predicted,idefics_black_predicted
IMG_0001,Male,Latino,sadness,sadness,sadness,sadness,No,No,No,1,99,0,0,0,0,1,95,1,1,2,0,0,100,0,0,0,0,1,94,2,1,2,0,0,80,5,1,9,5,7,82,1,2,6,2,99,95,100,94,80,82,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0002,Female,Caucasian White,surprise,disgust,sadness,fear,No,No,No,15,1,6,2,74,2,14,19,3,1,62,1,1,80,1,6,7,5,1,92,1,2,1,3,11,8,1,65,0,15,6,5,1,66,3,19,74,62,80,92,65,66,0,0,0,0,0,0,0,disgust,sadness,fear
IMG_0003,Male,South Asian,anger,surprise,fear,anger,No,Yes,Yes,4,7,0,11,10,68,6,10,2,4,0,78,5,7,2,68,6,12,0,6,17,1,11,65,1,0,94,3,1,1,4,3,7,13,0,73,68,78,68,65,94,73,0,1,1,0,0,1,1,surprise,surprise,surprise
IMG_0004,Female,Latino,disgust,surprise,joy,disgust,No,Yes,No,5,13,10,1,1,70,5,2,11,3,3,76,64,4,0,6,10,16,4,6,4,2,8,76,4,10,3,2,81,0,0,0,0,0,100,0,70,76,64,76,81,100,0,1,0,0,0,1,0,surprise,surprise,disgust
IMG_0005,Male,Latino,surprise,fear,sadness,disgust,No,No,No,3,15,5,77,0,0,1,0,2,91,1,5,11,83,2,2,1,1,2,82,3,1,12,0,16,8,10,2,64,0,4,1,2,4,86,3,77,91,83,82,64,86,0,0,0,0,0,0,0,fear,sadness,disgust
IMG_0006,Male,Caucasian White,anger,anger,anger,anger,No,No,No,0,0,91,1,5,3,1,0,97,1,1,0,-1,1,96,2,1,1,5,0,87,1,6,1,0,0,100,0,0,0,0,1,94,2,0,3,91,97,96,87,100,94,0,0,0,1,1,1,1,anger,anger,anger
IMG_0007,Female,Caucasian White,sadness,sadness,sadness,sadness,No,Yes,Yes,3,91,1,1,1,3,3,89,0,5,1,2,0,98,1,1,0,0,64,0,8,12,7,9,4,78,6,4,3,5,1,8,80,0,10,1,91,89,98,64,78,80,0,1,1,1,1,1,1,sadness,joy,anger
IMG_0008,Male,East Asian,disgust,disgust,joy,anger,No,Yes,No,1,1,0,1,91,6,1,0,0,3,95,1,83,3,1,6,1,6,3,84,7,5,0,1,2,1,93,2,1,1,1,1,93,0,1,4,91,95,83,84,93,93,0,1,0,1,0,0,0,disgust,sadness,anger
IMG_0009,Female,South Asian,fear,sadness,sadness,disgust,No,Yes,No,4,69,6,8,6,7,5,89,1,4,1,0,5,88,1,3,2,1,8,5,70,7,8,2,2,7,2,0,83,6,2,0,21,1,63,13,69,89,88,70,83,63,0,1,0,0,0,0,0,sadness,anger,disgust
IMG_0010,Female,Black American,fear,disgust,disgust,joy,No,No,No,5,5,6,1,62,21,1,2,1,1,94,1,7,4,4,0,81,4,3,3,1,1,92,0,90,3,3,1,2,1,75,7,1,3,7,7,62,94,81,92,90,75,0,0,0,0,0,0,0,disgust,disgust,joy
IMG_0011,Female,Caucasian White,fear,surprise,sadness,sadness,No,Yes,No,2,3,1,6,4,84,10,1,4,6,2,77,0,61,4,16,8,11,1,2,89,0,7,1,12,64,7,5,5,7,1,80,0,0,8,11,84,77,61,89,64,80,0,1,0,0,0,0,0,surprise,anger,sadness
IMG_0012,Male,Latino,joy,joy,joy,joy,No,Yes,No,80,8,2,0,3,7,90,1,0,0,2,7,98,0,0,1,1,0,4,5,5,4,2,80,78,7,1,1,4,9,96,1,1,1,1,0,80,90,98,80,78,96,0,1,0,1,1,1,1,joy,surprise,joy
IMG_0013,Male,Latino,disgust,fear,surprise,disgust,No,No,No,25,5,4,60,1,5,7,1,3,87,1,1,0,22,1,1,4,72,2,9,2,1,2,84,0,5,8,3,78,6,0,1,0,2,96,1,60,87,72,84,78,96,0,0,0,0,0,1,1,fear,surprise,disgust
IMG_0014,Male,Black American,disgust,disgust,disgust,fear,No,No,Yes,3,4,4,1,87,1,3,0,1,0,96,0,5,12,6,0,76,1,12,9,3,0,75,1,5,18,1,70,2,4,68,6,3,20,2,1,87,96,76,75,70,68,0,0,1,1,1,0,1,disgust,disgust,joy
IMG_0015,Male,Black American,fear,surprise,sadness,surprise,No,No,No,10,1,13,2,7,67,14,2,1,8,11,64,4,69,18,1,6,2,13,72,7,2,0,6,9,0,7,6,12,66,5,1,3,2,3,86,67,64,69,72,66,86,0,0,0,0,0,0,0,surprise,sadness,surprise
IMG_0016,Male,Black American,disgust,sadness,disgust,sadness,No,Yes,Yes,3,76,1,4,12,4,5,84,2,6,2,1,3,1,0,3,89,4,2,4,71,1,21,1,2,83,4,4,2,5,2,11,8,4,2,73,76,84,89,71,83,73,0,1,1,0,1,0,0,sadness,anger,surprise
IMG_0017,Male,Latino,disgust,disgust,disgust,disgust,No,Yes,Yes,0,0,0,0,100,0,2,2,2,5,87,2,1,0,0,0,99,0,19,7,62,4,4,4,5,0,1,8,84,2,13,4,77,6,0,0,100,87,99,62,84,77,0,1,1,1,1,1,1,disgust,anger,anger
IMG_0018,Male,Black American,fear,disgust,disgust,anger,No,Yes,No,0,1,1,4,93,1,0,7,6,1,83,3,10,24,0,0,63,3,91,5,1,0,1,2,0,5,85,2,7,1,7,7,79,0,2,5,93,83,63,91,85,79,0,1,0,0,0,0,0,disgust,joy,anger
IMG_0019,Female,Latino,surprise,anger,disgust,sadness,No,Yes,No,1,22,67,2,7,1,1,1,94,4,0,0,1,5,8,2,70,14,3,10,78,5,1,3,2,72,3,13,5,5,1,91,1,1,1,5,67,94,70,78,72,91,0,1,0,0,0,0,0,anger,anger,sadness
IMG_0020,Female,Caucasian White,anger,disgust,anger,joy,No,No,No,19,4,2,1,61,13,4,1,1,3,91,0,2,1,82,5,4,6,1,1,97,1,0,0,63,16,4,11,4,2,89,1,1,1,7,1,61,91,82,97,63,89,0,0,0,0,1,0,0,disgust,anger,joy
IMG_0021,Male,Latino,disgust,surprise,disgust,disgust,No,No,Yes,17,1,4,10,6,62,0,5,4,11,1,79,5,6,3,7,75,4,1,1,2,3,80,13,3,1,11,1,75,9,75,6,1,3,1,14,62,79,75,80,75,75,0,0,1,0,1,1,1,surprise,disgust,joy
IMG_0022,Male,East Asian,surprise,disgust,fear,disgust,No,No,Yes,11,6,5,0,76,2,7,4,1,2,84,2,2,0,2,78,17,1,9,4,1,66,3,17,12,4,6,5,73,0,7,82,2,6,1,2,76,84,78,66,73,82,0,0,1,0,0,0,0,disgust,fear,sadness
IMG_0023,Female,Latino,joy,joy,joy,joy,No,Yes,No,95,1,0,3,1,0,78,4,2,2,10,4,97,3,0,0,0,0,4,2,73,7,7,7,84,4,9,0,2,1,75,10,1,6,7,1,95,78,97,73,84,75,0,1,0,1,1,1,1,joy,anger,joy
IMG_0024,Female,Latino,disgust,anger,surprise,disgust,No,No,No,3,12,72,1,10,2,1,1,84,1,8,5,1,3,0,1,4,91,1,6,4,1,7,81,1,11,1,6,77,4,0,0,0,1,98,1,72,84,91,81,77,98,0,0,0,0,0,1,0,anger,surprise,disgust
IMG_0025,Female,Caucasian White,joy,joy,joy,joy,Yes,No,No,76,6,2,5,8,3,0,0,2,94,3,1,95,2,0,2,1,0,84,1,4,2,5,4,80,-1,1,2,5,13,78,4,2,4,1,11,76,94,95,84,80,78,1,0,0,1,1,1,1,fear,joy,joy
