Picture_ID,Gender,Race,Ground_Truth_Emotion,qwen_original_predicted,phi_original_predicted,idefics_original_predicted,Qwen_Context_Dependent,Phi_Context_Dependent,Idefics_Context_Dependent,qwen_original_joy,qwen_original_sadness,qwen_original_anger,qwen_original_fear,qwen_original_disgust,qwen_original_surprise,qwen_original_hate,qwen_black_joy,qwen_black_sadness,qwen_black_anger,qwen_black_fear,qwen_black_disgust,qwen_black_surprise,qwen_black_hate,phi_original_joy,phi_original_sadness,phi_original_anger,phi_original_fear,phi_original_disgust,phi_original_surprise,phi_original_hate,phi_black_joy,phi_black_sadness,phi_black_anger,phi_black_fear,phi_black_disgust,phi_black_surprise,phi_black_hate,idefics_original_joy,idefics_original_sadness,idefics_original_anger,idefics_original_fear,idefics_original_disgust,idefics_original_surprise,idefics_original_hate,idefics_black_joy,idefics_black_sadness,idefics_black_anger,idefics_black_fear,idefics_black_disgust,idefics_black_surprise,idefics_black_hate,qwen_original_confidence,qwen_black_confidence,phi_original_confidence,phi_black_confidence,idefics_original_confidence,idefics_black_confidence,Qwen_Context_Shift,Phi_Context_Shift,Idefics_Context_Shift,Qwen_Accuracy,Phi_Accuracy,Idefics_Accuracy,MME_Score,qwen_black_predicted,phi_black_predicted,idefics_black_predicted
FBAA,Female,Black American,anger,joy,disgust,anger,No,No,Yes,100,0,0,0,0,0,0,100,0,0,0,0,0,0,13,14,15,17,18,11,12,13,14,15,17,18,11,12,0,0,100,0,0,0,0,9,10,11,12,13,8,37,100,100,18,18,100,37,0,0,1,0,0,1,1,joy,disgust,hate
FBAD,Female,Black American,disgust,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,22,22,100,100,0,0,0,0,0,0,0,sadness,sadness,joy
FBAF,Female,Black American,fear,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,16,16,18,100,0,0,1,0,0,0,0,sadness,joy,joy
FBAH,Female,Black American,hate,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,22,22,100,100,0,0,0,0,0,0,0,sadness,sadness,joy
FBAJ,Female,Black American,joy,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,28,6,12,18,12,18,6,33,7,13,20,7,13,7,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,28,33,100,100,0,0,0,0,1,1,1,sadness,joy,joy
FBAS,Female,Black American,sadness,disgust,sadness,sadness,Yes,No,No,0,21,17,6,22,17,17,10,20,15,5,20,15,15,11,33,6,17,11,11,11,13,27,7,20,13,13,7,0,100,0,0,0,0,0,9,27,10,26,13,7,8,22,20,33,27,100,27,1,0,0,0,1,1,1,sadness,sadness,sadness
FBAU,Female,Black American,surprise,sadness,sadness,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,22,22,18,100,0,0,1,0,0,0,0,sadness,sadness,joy
FCWA,Female,Caucasian White,anger,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,20,12,12,19,12,19,6,20,12,12,19,12,19,6,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,20,20,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FCWD,Female,Caucasian White,disgust,sadness,sadness,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,27,19,12,12,12,6,12,27,19,12,12,12,6,100,0,0,0,0,0,0,0,100,0,0,0,0,0,20,20,27,27,100,100,0,0,1,0,0,0,0,sadness,sadness,sadness
FCWF,Female,Caucasian White,fear,sadness,sadness,sadness,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,13,27,7,20,13,13,7,0,100,0,0,0,0,0,0,100,0,0,0,0,0,20,20,27,27,100,100,0,0,0,0,0,0,0,sadness,sadness,sadness
